British Coal Production,
Source: https://www.gov.uk/government/statistical-data-sets/historical-coal-data-coal-production-availability-and-consumption,
Year,Million Tonnes
1913,292.02888
1914,269.914624
1915,257.257296
1916,260.477
1917,252.474984
1918,231.392984
1919,233.45648
1920,233.204512
1921,165.863016
1922,253.600712
1923,280.417016
1924,271.391888
1925,247.066816
1926,128.299464
1927,255.251712
1928,241.271552
1929,262.033512
1930,247.784112
1931,222.970344
1932,212.072728
1933,210.425792
1934,224.257616
1935,225.804984
1936,232.103168
1937,244.255544
1938,230.624888
1939,235.039408
1940,227.887784
1941,209.645504
1942,208.223104
1943,202.10272
1944,195.831968
1945,185.6994
1946,193.1099008
1947,200.0504
1948,210.312
1949,218.3384
1950,219.456
1951,226.1616
1952,228.4984
1953,227.076
1954,227.3808
1955,225.6536
1956,226.06
1957,227.7872
1958,219.7608
1959,210.1088
1960,197.831
1961,195.047
1962,202.639
1963,200.462
1964,198.056
1965,191.627
1966,179.909
1967,177.651
1968,169.92
1969,155.694
1970,147.195
1971,153.683
1972,126.834
1973,131.984
1974,110.452
1975,128.683
1976,123.801
1977,122.15
1978,123.577
1979,122.369
1980,130.097
1981,127.469
1982,124.711
1983,119.254
1984,51.182
1985,94.111
1986,108.099
1987,104.533
1988,104.066
1989,99.82
1990,92.762
1991,94.202
1992,84.493
1993,68.199
1994,49.785
1995,53.037
1996,50.197
1997,48.495
1998,41.177
1999,37.077
2000,31.1975826666667
2001,31.929856
2002,29.989155
2003,28.279
2004,25.096057
2005,20.498293
2006,18.517162
2007,17.007227
2008,18.0532425714286
2009,17.8736338209229
2010,18.3466303693676
2011,18.5519782106571
2012,16.9666670604725
2013,12.7674456129648
2014,11.6476117876571
2015,8.59801752322545
2016,4.17779642972088
2017,3.041064485672
2018,2.58005401606464
2019,2.1663972940197
